id,pdt_url,pdt_name,pdt_categ,pdt_img,brand,Features,price,sub_categ
50,https://www.flipkart.com/blue-martin-men-checkered-casual-multicolor-shirt/p/itm65bafc35da6cf?pid=SHTGM92WYPYVZD3V&lid=LSTSHTGM92WYPYVZD3VYMLJT7&marketplace=FLIPKART&store=clo%2Fash&srno=b_2_51&otracker=browse&otracker1=hp_rich_navigation_PINNED_neo%2Fmerchandising_NA_NAV_EXPANDABLE_navigationCard_cc_1_L1_view-all&fm=organic&iid=en_YO5sHr9_9OOyUbiwcnHryMVP2UX6f1pd-7-Z_1bUu-FKpk4KluH810KsDueQtXxoa4jRLLwpCq_-DeFzr-EHdg%3D%3D&ppt=None&ppn=None&ssid=dv0jkjuwy80000001692553172801,Men Regular Fit Checkered Spread Collar Casual Shirt  (Pack of 2),Men Top,https://rukminim2.flixcart.com/image/832/832/xif0q/shirt/9/o/h/xl-whitecheck-sbcheck-youth-first-original-imaghy7k8yhyphhn.jpeg?q=70,BLUE MARTIN,"{'Color': 'Multicolor', 'Fabric': 'Cotton Blend', 'Pattern': 'Checkered', 'Net Quantity': '2'}",₹498,shirt
53,https://www.flipkart.com/vebnor-men-printed-casual-grey-shirt/p/itm87ecd32fef814?pid=SHTGMTFJVYQ7MZGT&lid=LSTSHTGMTFJVYQ7MZGTUMFDTP&marketplace=FLIPKART&store=clo%2Fash&srno=b_2_54&otracker=browse&otracker1=hp_rich_navigation_PINNED_neo%2Fmerchandising_NA_NAV_EXPANDABLE_navigationCard_cc_1_L1_view-all&fm=organic&iid=bd104181-4f63-47f0-baaa-1d116088d68d.SHTGMTFJVYQ7MZGT.SEARCH&ppt=None&ppn=None&ssid=dv0jkjuwy80000001692553172801,Men Regular Fit Printed Spread Collar Casual Shirt,Men Top,https://rukminim2.flixcart.com/image/832/832/xif0q/shirt/z/m/y/m-st10-vebnor-original-imagzdthsr7a9h9y.jpeg?q=70,VeBNoR,"{'Color': 'Grey', 'Fabric': 'Lycra Blend', 'Pattern': 'Printed', 'Net Quantity': '1'}",₹289,shirt
55,https://www.flipkart.com/u-turn-men-striped-casual-light-green-white-shirt/p/itm8d24d935a063b?pid=SHTGN54ZCH5GZKHU&lid=LSTSHTGN54ZCH5GZKHUK71DUG&marketplace=FLIPKART&store=clo%2Fash&srno=b_2_56&otracker=browse&otracker1=hp_rich_navigation_PINNED_neo%2Fmerchandising_NA_NAV_EXPANDABLE_navigationCard_cc_1_L1_view-all&fm=organic&iid=bd104181-4f63-47f0-baaa-1d116088d68d.SHTGN54ZCH5GZKHU.SEARCH&ppt=None&ppn=None&ssid=dv0jkjuwy80000001692553172801,Men Slim Fit Striped Spread Collar Casual Shirt,Men Top,https://rukminim2.flixcart.com/image/832/832/xif0q/shirt/r/9/n/xxl-patta-14-jai-textiles-original-imagn2fzpawqukgq.jpeg?q=70,U TURN,"{'Color': 'Light Green, White', 'Fabric': 'Cotton Blend', 'Pattern': 'Striped', 'Net Quantity': '1'}",₹399,shirt
56,https://www.flipkart.com/try-men-color-block-casual-white-black-shirt/p/itm60628958d25f3?pid=SHTFNNJGGBMUHWJP&lid=LSTSHTFNNJGGBMUHWJP8RSFY2&marketplace=FLIPKART&store=clo%2Fash&srno=b_2_57&otracker=browse&otracker1=hp_rich_navigation_PINNED_neo%2Fmerchandising_NA_NAV_EXPANDABLE_navigationCard_cc_1_L1_view-all&fm=organic&iid=en_YO5sHr9_9OOyUbiwcnHryMVP2UX6f1pd-7-Z_1bUu-HBmUvMVix1j6CEjekSa4ExFhyWiW845Bjf7T6TvpXuDA%3D%3D&ppt=None&ppn=None&ssid=dv0jkjuwy80000001692553172801,Men Slim Fit Color Block Spread Collar Casual Shirt,Men Top,https://rukminim2.flixcart.com/image/832/832/xif0q/shirt/p/d/k/xl-bss-try-this-original-imafvvae4ghhy5pd-bb.jpeg?q=70,Try This,"{'Color': 'White, Black', 'Fabric': 'Cotton Blend', 'Pattern': 'Color Block', 'Net Quantity': '1'}",₹319,shirt
61,https://www.flipkart.com/fibermill-men-solid-formal-grey-shirt/p/itm5297ccc042b53?pid=SHTGBXYVPFPUCFG3&lid=LSTSHTGBXYVPFPUCFG3E0EVUQ&marketplace=FLIPKART&store=clo%2Fash&srno=b_2_62&otracker=browse&otracker1=hp_rich_navigation_PINNED_neo%2Fmerchandising_NA_NAV_EXPANDABLE_navigationCard_cc_1_L1_view-all&fm=organic&iid=en_YO5sHr9_9OOyUbiwcnHryMVP2UX6f1pd-7-Z_1bUu-G-GjNqNMRkxk2J1DZbW-oVM6PeD06157bIwTg9mu7Crg%3D%3D&ppt=None&ppn=None&ssid=dv0jkjuwy80000001692553172801,Men Regular Fit Solid Spread Collar Formal Shirt,Men Top,https://rukminim2.flixcart.com/image/832/832/l02r1jk0/shirt/k/k/d/l-fbrml-r-fibermill-original-imagbxyuth2kzhhm.jpeg?q=70,FIBERMILL,"{'Color': 'Grey', 'Fabric': 'Cotton Blend', 'Pattern': 'Solid', 'Net Quantity': '1'}",₹389,shirt
62,https://www.flipkart.com/vebnor-men-printed-casual-black-shirt/p/itm0f2aa6f5d945e?pid=SHTGNEDYNZ7VSPGW&lid=LSTSHTGNEDYNZ7VSPGWUBUHI7&marketplace=FLIPKART&store=clo%2Fash&spotlightTagId=BestsellerId_clo%2Fash&srno=b_2_63&otracker=browse&otracker1=hp_rich_navigation_PINNED_neo%2Fmerchandising_NA_NAV_EXPANDABLE_navigationCard_cc_1_L1_view-all&fm=organic&iid=bd104181-4f63-47f0-baaa-1d116088d68d.SHTGNEDYNZ7VSPGW.SEARCH&ppt=None&ppn=None&ssid=dv0jkjuwy80000001692553172801,Men Regular Fit Printed Spread Collar Casual Shirt,Men Top,https://rukminim2.flixcart.com/image/832/832/xif0q/shirt/c/o/e/s-st10-vebnor-original-imagzdsu8hkehz8f.jpeg?q=70,VeBNoR,"{'Color': 'Black', 'Fabric': 'Lycra Blend', 'Pattern': 'Printed', 'Net Quantity': '1'}",₹289,shirt
63,https://www.flipkart.com/vebnor-men-solid-casual-blue-shirt/p/itmcb53ae0d7c7bd?pid=SHTFVC7HBFUCFBCU&lid=LSTSHTFVC7HBFUCFBCUFGNY5I&marketplace=FLIPKART&store=clo%2Fash&srno=b_2_64&otracker=browse&otracker1=hp_rich_navigation_PINNED_neo%2Fmerchandising_NA_NAV_EXPANDABLE_navigationCard_cc_1_L1_view-all&fm=organic&iid=bd104181-4f63-47f0-baaa-1d116088d68d.SHTFVC7HBFUCFBCU.SEARCH&ppt=None&ppn=None&ssid=dv0jkjuwy80000001692553172801,Men Regular Fit Solid Mandarin Collar Casual Shirt,Men Top,https://rukminim2.flixcart.com/image/832/832/xif0q/shirt/y/v/h/s-st1-vebnor-original-imagn6brf89yqbqy.jpeg?q=70,VeBNoR,"{'Color': 'Blue', 'Fabric': 'Cotton Blend', 'Pattern': 'Solid', 'Net Quantity': '1'}",₹379,shirt
65,https://www.flipkart.com/u-turn-men-striped-casual-light-blue-shirt/p/itmf2f82decbd33b?pid=SHTGHATTARGZMAHG&lid=LSTSHTGHATTARGZMAHGGEKQVY&marketplace=FLIPKART&store=clo%2Fash&srno=b_2_66&otracker=browse&otracker1=hp_rich_navigation_PINNED_neo%2Fmerchandising_NA_NAV_EXPANDABLE_navigationCard_cc_1_L1_view-all&fm=organic&iid=bd104181-4f63-47f0-baaa-1d116088d68d.SHTGHATTARGZMAHG.SEARCH&ppt=None&ppn=None&ssid=dv0jkjuwy80000001692553172801,Men Slim Fit Striped Spread Collar Casual Shirt,Men Top,https://rukminim2.flixcart.com/image/832/832/xif0q/shirt/v/m/3/xl-patta-13-jai-textiles-original-imagn2fzfgzwhjzy.jpeg?q=70,U TURN,"{'Color': 'Light Blue', 'Fabric': 'Cotton Blend', 'Pattern': 'Striped', 'Net Quantity': '1'}",₹399,shirt
66,https://www.flipkart.com/blue-martin-men-checkered-casual-multicolor-shirt/p/itm7a0b6d4b74c0d?pid=SHTGM92WQUEHHN8V&lid=LSTSHTGM92WQUEHHN8VTJYCRF&marketplace=FLIPKART&store=clo%2Fash&srno=b_2_67&otracker=browse&otracker1=hp_rich_navigation_PINNED_neo%2Fmerchandising_NA_NAV_EXPANDABLE_navigationCard_cc_1_L1_view-all&fm=organic&iid=en_YO5sHr9_9OOyUbiwcnHryMVP2UX6f1pd-7-Z_1bUu-HLiQgTYM_hXgYKQOXHAQMNp1DUy80OO3doCjqAVKcjHw%3D%3D&ppt=None&ppn=None&ssid=dv0jkjuwy80000001692553172801,Men Regular Fit Checkered Spread Collar Casual Shirt  (Pack of 2),Men Top,https://rukminim2.flixcart.com/image/832/832/xif0q/shirt/t/b/a/l-sbblackcheck-youth-first-original-imaghy7hwczvcxyz.jpeg?q=70,BLUE MARTIN,"{'Color': 'Multicolor', 'Fabric': 'Cotton Blend', 'Pattern': 'Checkered', 'Net Quantity': '2'}",₹459,shirt
69,https://www.flipkart.com/vebnor-men-printed-casual-grey-shirt/p/itm01db02e310023?pid=SHTGRWE3GFZKUZNN&lid=LSTSHTGRWE3GFZKUZNN6ZHAY3&marketplace=FLIPKART&store=clo%2Fash&srno=b_2_70&otracker=browse&otracker1=hp_rich_navigation_PINNED_neo%2Fmerchandising_NA_NAV_EXPANDABLE_navigationCard_cc_1_L1_view-all&fm=organic&iid=bd104181-4f63-47f0-baaa-1d116088d68d.SHTGRWE3GFZKUZNN.SEARCH&ppt=None&ppn=None&ssid=dv0jkjuwy80000001692553172801,Men Regular Fit Printed Spread Collar Casual Shirt,Men Top,https://rukminim2.flixcart.com/image/832/832/xif0q/shirt/j/x/n/l-st10-vebnor-original-imagsfc2mvgkkrsn.jpeg?q=70,VeBNoR,"{'Color': 'Grey', 'Fabric': 'Lycra Blend', 'Pattern': 'Printed', 'Net Quantity': '1'}",₹289,shirt
